config,eta_over_gamma,photon_number,a_gg,a_bb,a_dd,im_a_bd,residual_norm,converged,peak_frequency_hz,fwhm_hz,semianalytic_hz
paper_2021,0.1,0.00641144688844,0.833333760763,0.0833329140801,0.0833333251568,1.27298890442e-09,2.34738679766e-11,1,-154166.666667,nan,9179.74436765
paper_2021,0.5,0.0942242647861,0.500003768971,0.249996365267,0.249999865763,5.04680659644e-08,5.75631428126e-12,1,-157500,nan,15581.0905061
paper_2021,1,43.016113875,0.334480429703,0.332745785214,0.332773785083,4.26661155146e-05,4.47626284937e-11,1,-261666.666667,38333.3333333,1169208.98831
paper_2021,2,4303.27504576,0.268852400732,0.258988500319,0.472159098949,0.00163864256289,4.76837446149e-07,1,0,nan,21.6651013457
paper_2021,3,6769.87886057,0.220227186978,0.209644397494,0.570128415528,0.00226382863514,4.95924912315e-10,1,0,nan,13.7519877837
paper_2021,5,9966.25326458,0.163390932833,0.152845937258,0.683763129909,0.00332978835644,7.45144730592e-11,1,0,nan,11.4039094997
paper_2021,7,12112.0096858,0.131264051657,0.121067831415,0.747668116928,0.00427950611685,1.49088240882e-08,1,0,nan,11.6998716465
our_clock,0.1,0.000164187539521,0.833333880625,0.0833328289956,0.0833332903793,2.44208107492e-09,2.93084672936e-11,1,-154166.666667,nan,9839.30360355
our_clock,0.5,0.00259226241034,0.500005184525,0.249995466855,0.24999934862,8.10910579245e-08,2.84605549494e-11,1,157500,nan,17527.6048828
our_clock,1,0.971521033348,0.334628694711,0.332664359635,0.332706945654,4.80437264325e-05,1.84991271365e-11,1,-175000,nan,372397.642308
our_clock,2,128.939221236,0.303151376989,0.281860101601,0.414988521411,0.00478285581416,8.44910166913e-10,1,0,nan,19.3067065482
our_clock,3,206.272976673,0.260727415242,0.233539562557,0.505733022201,0.00691123058812,5.01540773696e-09,1,0,nan,8.89154508157
our_clock,5,314.088230632,0.205122992957,0.176293208957,0.618583798086,0.0101757791675,2.71863097064e-09,1,0,nan,6.54339675087
our_clock,6,355.966099535,0.186451107549,0.157937070164,0.655611822287,0.0115773705752,1.06896252423e-06,1,0,nan,6.45355199244
our_clock,7,392.99624717,0.171465665912,0.14347488705,0.685059447038,0.0128800053587,1.87178422672e-09,1,0,nan,6.57924957321
