time_us,reduced_photon_number,full_meanfield_photon_number
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.999999999999999237e-03,2.277107121021715030e-01,2.277114965456489559e-01
9.999999999999998473e-03,1.030108624358313962e+00,1.030114166943390419e+00
1.499999999999999944e-02,2.987695684505158766e+00,2.987715984285951532e+00
1.999999999999999695e-02,7.623442478422814972e+00,7.623510286704705763e+00
2.499999999999999445e-02,1.860378714370156317e+01,1.860398143357075895e+01
2.999999999999999889e-02,4.465051240392042331e+01,4.465106498860316009e+01
3.499999999999999639e-02,1.064626447741041346e+02,1.064641393316206717e+02
3.999999999999999389e-02,2.530930927864146156e+02,2.530969922593683350e+02
4.499999999999999140e-02,6.005102470721858481e+02,6.005203309270577847e+02
4.999999999999998890e-02,1.421500500261865909e+03,1.421525863634478355e+03
5.499999999999998640e-02,3.350439637070658137e+03,3.350501018276186642e+03
5.999999999999999778e-02,7.823580050552592184e+03,7.823719592252551593e+03
6.499999999999998834e-02,1.788790386187887998e+04,1.788819139185911263e+04
6.999999999999999278e-02,3.900500507743172057e+04,3.900553972163510480e+04
7.499999999999998335e-02,7.677441164110643149e+04,7.677524575217215170e+04
7.999999999999998779e-02,1.236346034276554710e+05,1.236354277153294970e+05
8.499999999999999223e-02,1.429919165962543047e+05,1.429918140114817361e+05
8.999999999999998279e-02,1.071208072024479479e+05,1.071197408940818277e+05
9.499999999999998723e-02,4.877531627150762506e+04,4.877429148232869193e+04
9.999999999999997780e-02,1.000259252903830020e+04,1.000207768751317053e+04
1.049999999999999822e-01,1.913681926105330433e+02,1.913249310374619370e+02
1.099999999999999728e-01,1.344804003832621856e+04,1.344836964391461515e+04
1.149999999999999911e-01,4.052750870641463553e+04,4.052808553489918268e+04
1.199999999999999956e-01,6.488484377908892202e+04,6.488528397105411568e+04
1.250000000000000000e-01,6.627788152965791232e+04,6.627774146252444189e+04
1.299999999999999767e-01,4.293623265845895367e+04,4.293567726356363710e+04
1.349999999999999811e-01,1.525280702221918909e+04,1.525232357520064943e+04
1.399999999999999856e-01,8.935773111098867503e+02,8.933944543642282952e+02
1.449999999999999900e-01,3.367682063865725922e+03,3.367803748347891997e+03
1.499999999999999667e-01,1.682909953306046737e+04,1.682942716141341589e+04
1.549999999999999711e-01,3.035077854739371833e+04,3.035106982369767866e+04
1.599999999999999756e-01,3.307954358424997190e+04,3.307953905559686973e+04
1.649999999999999800e-01,2.312226917944406159e+04,2.312200290406216300e+04
1.699999999999999845e-01,9.125930750058063495e+03,9.125649273089047711e+03
1.749999999999999611e-01,7.699831232724886831e+02,7.698633657427293429e+02
1.799999999999999656e-01,1.431375908742395040e+03,1.431439540365989615e+03
1.849999999999999700e-01,8.242755991759986500e+03,8.242931918229787698e+03
1.899999999999999745e-01,1.504011296587812467e+04,1.504024965579392483e+04
1.949999999999999512e-01,1.639812251761450898e+04,1.639809823352179956e+04
1.999999999999999556e-01,1.159563279982087624e+04,1.159548486636685629e+04
2.049999999999999600e-01,4.692091134628182772e+03,4.691950301685953491e+03
2.099999999999999645e-01,4.258408215319466308e+02,4.257936875349650450e+02
2.149999999999999689e-01,6.786945723485856661e+02,6.787384289793908465e+02
2.199999999999999456e-01,4.021985871823486377e+03,4.022067601673331410e+03
2.249999999999999500e-01,7.297593484067406280e+03,7.297631651631671048e+03
2.299999999999999822e-01,7.920426364820429626e+03,7.920382041887733976e+03
2.349999999999999867e-01,5.626406522058107839e+03,5.626322251556181072e+03
2.399999999999999911e-01,2.310326814993523385e+03,2.310267616622641981e+03
2.449999999999999956e-01,2.199847351039881858e+02,2.199819927851702062e+02
2.500000000000000000e-01,3.182342689376325211e+02,3.182687744255490543e+02
2.549999999999999489e-01,1.943636371400773442e+03,1.943671762407342612e+03
2.599999999999999534e-01,3.564495627991980655e+03,3.564494137300965122e+03
2.649999999999999578e-01,3.932750793429148871e+03,3.932708727586339592e+03
2.699999999999999623e-01,2.886849179783575892e+03,2.886801325474315490e+03
2.749999999999999667e-01,1.274730725538613115e+03,1.274708877377369163e+03
2.799999999999999711e-01,1.687114254301294238e+02,1.687234237888134771e+02
2.849999999999999756e-01,9.507833757221501969e+01,9.510357620091660635e+01
2.899999999999999800e-01,8.070902408589104198e+02,8.071054019601870095e+02
2.949999999999999845e-01,1.601643477022438901e+03,1.601633372056761800e+03
2.999999999999999334e-01,1.861956519354771899e+03,1.861926408501697097e+03
3.049999999999999378e-01,1.448750293609238952e+03,1.448723052192093974e+03
3.099999999999999423e-01,7.040634504310580724e+02,7.040552479720093970e+02
3.149999999999999467e-01,1.285673382529365938e+02,1.285793933737414534e+02
3.199999999999999512e-01,1.949734184835775963e+01,1.951521908022142071e+01
3.249999999999999556e-01,3.195608805148623901e+02,3.195699202609771419e+02
3.299999999999999600e-01,7.235752032398398796e+02,7.235681260140980839e+02
3.349999999999999645e-01,9.200452553519235153e+02,9.200264117879855803e+02
3.399999999999999689e-01,7.913076833657784164e+02,7.912904714317879780e+02
3.449999999999999178e-01,4.520871150737822290e+02,4.520818359884996198e+02
3.499999999999999223e-01,1.305267699904012773e+02,1.305342501327111790e+02
3.549999999999999267e-01,4.228968590252962234e-01,4.347623680595448792e-01
3.599999999999999312e-01,8.304700348747095973e+01,8.305369638234596152e+01
