time_us,reduced_photon_number,full_meanfield_photon_number
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.999999999999999237e-03,1.095577536073859548e-01,1.095578031453276480e-01
9.999999999999998473e-03,4.438673792468882384e-01,4.438698609016197283e-01
1.499999999999999944e-02,1.087193811694445955e+00,1.087204745898523672e+00
1.999999999999999695e-02,2.244481096737990011e+00,2.244504189741334255e+00
2.499999999999999445e-02,4.307398450983571436e+00,4.307446850291386298e+00
2.999999999999999889e-02,7.989000309963534718e+00,7.989101878623766417e+00
3.499999999999999639e-02,1.457227101479530162e+01,1.457247914233054153e+01
3.999999999999999389e-02,2.635835476891061546e+01,2.635876029320118263e+01
4.499999999999999140e-02,4.746970588483524978e+01,4.747049407573458524e+01
4.999999999999998890e-02,8.528515366379622265e+01,8.528667810241414315e+01
5.499999999999998640e-02,1.529970721738625912e+02,1.529999664317691952e+02
5.999999999999999778e-02,2.741489327230490289e+02,2.741544741980645767e+02
6.499999999999998834e-02,4.906283356390082417e+02,4.906386031956357101e+02
6.999999999999999278e-02,8.765629713702202253e+02,8.765821920586199667e+02
7.499999999999998335e-02,1.561898268232790542e+03,1.561933102137547166e+03
7.999999999999998779e-02,2.770573331471121037e+03,2.770634388413480792e+03
8.499999999999999223e-02,4.876608828295214153e+03,4.876707552668880453e+03
8.999999999999998279e-02,8.468716564031823509e+03,8.468867154791594658e+03
9.499999999999998723e-02,1.436884831555625351e+04,1.436907083533551668e+04
9.999999999999997780e-02,2.343750378562774131e+04,2.343781145609308442e+04
1.049999999999999822e-01,3.583835517799549416e+04,3.583874362074232340e+04
1.099999999999999728e-01,4.957567102171043371e+04,4.957606500465589488e+04
1.149999999999999911e-01,5.941771044411333423e+04,5.941790832697998849e+04
1.199999999999999956e-01,5.916879393209249974e+04,5.916860369755782449e+04
1.250000000000000000e-01,4.743919609408048564e+04,4.743869000732633140e+04
1.299999999999999767e-01,2.981358015136112226e+04,2.981301754137286480e+04
1.349999999999999811e-01,1.379065543456013256e+04,1.379023531158814876e+04
1.399999999999999856e-01,3.645147067402717312e+03,3.644917932978383305e+03
1.449999999999999900e-01,3.893506995327881981e+01,3.887145852087347464e+01
1.499999999999999667e-01,1.822985773825268097e+03,1.823054505538842477e+03
1.549999999999999711e-01,7.216784413268768731e+03,7.216941140275406724e+03
1.599999999999999756e-01,1.401961368874233085e+04,1.401981222157265802e+04
1.649999999999999800e-01,1.964293277600604415e+04,1.964308501671918930e+04
1.699999999999999845e-01,2.174903210613607371e+04,2.174905288367796311e+04
1.749999999999999611e-01,1.944503269048179209e+04,1.944491261939698961e+04
1.799999999999999656e-01,1.390066411212669482e+04,1.390047112088850190e+04
1.849999999999999700e-01,7.548368359461487671e+03,7.548189756364060486e+03
1.899999999999999745e-01,2.610407881372981137e+03,2.610294712640713442e+03
1.949999999999999512e-01,2.146996884652526774e+02,2.146593777934519665e+02
1.999999999999999556e-01,3.715980435367730479e+02,3.716174028538389962e+02
2.049999999999999600e-01,2.333276601627636865e+03,2.333332324014922506e+03
2.099999999999999645e-01,4.965845537901388525e+03,4.965910976742555249e+03
2.149999999999999689e-01,7.095330606850505319e+03,7.095368213564836879e+03
2.199999999999999456e-01,7.874814995670972166e+03,7.874800469609209358e+03
2.249999999999999500e-01,7.080349323386571996e+03,7.080291007065181475e+03
2.299999999999999822e-01,5.144106098082395874e+03,5.144032167929975913e+03
2.349999999999999867e-01,2.873010075784767196e+03,2.872948729435976929e+03
2.399999999999999911e-01,1.041676411675220834e+03,1.041644026050196999e+03
2.449999999999999956e-01,1.033979452673606261e+02,1.033926880518379505e+02
2.500000000000000000e-01,1.126477801006046491e+02,1.126597903810642833e+02
2.549999999999999489e-01,8.053353635520456919e+02,8.053529476221256118e+02
2.599999999999999534e-01,1.750385501594135349e+03,1.750396395195196646e+03
2.649999999999999578e-01,2.515699536312168220e+03,2.515695006246859066e+03
2.699999999999999623e-01,2.810298145185963676e+03,2.810277891256087059e+03
2.749999999999999667e-01,2.563695823874634243e+03,2.563668191860565912e+03
2.799999999999999711e-01,1.915253918957048199e+03,1.915229822818970206e+03
2.849999999999999756e-01,1.124616641767245710e+03,1.124602714091829284e+03
2.899999999999999800e-01,4.528635859380464126e+02,4.528617595399556421e+02
2.949999999999999845e-01,6.976088642682381646e+01,6.976705954339816174e+01
2.999999999999999334e-01,1.608923294793634184e+01,1.609715085399957246e+01
3.049999999999999378e-01,2.184292902035481632e+02,2.184342092887928573e+02
3.099999999999999423e-01,5.367438891011279338e+02,5.367426890580456984e+02
3.149999999999999467e-01,8.224141763130846812e+02,8.224062285622530908e+02
3.199999999999999512e-01,9.677936200651689660e+02,9.677811841091083807e+02
3.249999999999999556e-01,9.337499341183689694e+02,9.337372225544980893e+02
3.299999999999999600e-01,7.496158465233761490e+02,7.496072934608755531e+02
3.349999999999999645e-01,4.899523459632760023e+02,4.899494284324177897e+02
3.399999999999999689e-01,2.405181849390866375e+02,2.405204848874708432e+02
3.449999999999999178e-01,6.767483633508004459e+01,6.768007964575883761e+01
3.499999999999999223e-01,9.701639017842920154e-01,9.751609693160991910e-01
3.549999999999999267e-01,3.147703411267101359e+01,3.147955015281885949e+01
3.599999999999999312e-01,1.225650740924463094e+02,1.225641504767731647e+02
3.649999999999999356e-01,2.268727975427941033e+02,2.268686323225288390e+02
3.699999999999999400e-01,3.030144660110865971e+02,3.030083308877808008e+02
3.749999999999999445e-01,3.270715293592080002e+02,3.270653262329387871e+02
3.799999999999999489e-01,2.964127779088347552e+02,2.964083793102265645e+02
3.849999999999999534e-01,2.261654645909910641e+02,2.261638349612737500e+02
3.899999999999999023e-01,1.409137947144341183e+02,1.409147854326652975e+02
3.949999999999999067e-01,6.522704322963527090e+01,6.522976653530442093e+01
3.999999999999999112e-01,1.622609285281463798e+01,1.622921323178705677e+01
4.049999999999999156e-01,1.327820805467165056e-02,1.550176707513102603e-02
4.099999999999999201e-01,1.215635749529414866e+01,1.215699515380976692e+01
4.149999999999999245e-01,4.115498505552961461e+01,4.115394125706072259e+01
4.199999999999999289e-01,7.320922121318542963e+01,7.320688286905698305e+01
4.249999999999999334e-01,9.663330746846439467e+01,9.663039846437435187e+01
4.299999999999999378e-01,1.047323672898497193e+02,1.047296980956823660e+02
4.349999999999998868e-01,9.665203941112446273e+01,9.665030483962664221e+01
4.399999999999998912e-01,7.639258536974497815e+01,7.639212506020484739e+01
4.449999999999998956e-01,5.066368336368216774e+01,5.066435271663628015e+01
4.499999999999999001e-01,2.644143353713310418e+01,2.644281536034015900e+01
4.549999999999999045e-01,8.981457244543733509e+00,8.982994950738389051e+00
4.599999999999999645e-01,7.394047878891605308e-01,7.405652533220397071e-01
4.649999999999999689e-01,1.290549358701593707e+00,1.291024483740909945e+00
4.699999999999999734e-01,8.043302840769007034e+00,8.043038748602594268e+00
4.749999999999999778e-01,1.737491386734918919e+01,1.737404729243082002e+01
4.799999999999999822e-01,2.579224401068471551e+01,2.579105347325966946e+01
4.849999999999999312e-01,3.080635304423958232e+01,3.080516442501975050e+01
4.899999999999999911e-01,3.135644009408729360e+01,3.135552923309305484e+01
4.949999999999999400e-01,2.777391413857145253e+01,2.777347162485686027e+01
5.000000000000000000e-01,2.139894541438339104e+01,2.139900184199121469e+01
5.049999999999998934e-01,1.402592304999059181e+01,1.402636967479578978e+01
5.099999999999998979e-01,7.357386397363117503e+00,7.358038322216512661e+00
5.149999999999999023e-01,2.601886792573320673e+00,2.602529941110915068e+00
5.199999999999999067e-01,2.829328168687382794e-01,2.833912575924185662e-01
5.249999999999999112e-01,2.574943787226655068e-01,2.576764387857840566e-01
5.299999999999999156e-01,1.891178546545603467e+00,1.891079323581105198e+00
5.349999999999999201e-01,4.311633858113427920e+00,4.311310277704894389e+00
5.399999999999999245e-01,6.661651042967332792e+00,6.661203140034729131e+00
5.449999999999999289e-01,8.292280101050435448e+00,8.291820397660860209e+00
5.499999999999999334e-01,8.864710408007958620e+00,8.864337780144776247e+00
5.549999999999998268e-01,8.358481522288903065e+00,8.358261242570891980e+00
5.599999999999999423e-01,7.005899990922239695e+00,7.005856177934378870e+00
5.649999999999998357e-01,5.184737142595171377e+00,5.184851405431265547e+00
5.699999999999999512e-01,3.303063462037596931e+00,3.303284796276874768e+00
5.749999999999998446e-01,1.703656277986453471e+00,1.703913881468472891e+00
5.799999999999999600e-01,6.043763993817217184e-01,6.046048319220514999e-01
5.849999999999998535e-01,7.896118909921337470e-02,7.911328253910547559e-02
5.899999999999999689e-01,7.276570531442663747e-02,7.282064442225132106e-02
5.949999999999998623e-01,4.417872769399142086e-01,4.417485392373192155e-01
5.999999999999998668e-01,1.001223855238988270e+00,1.001112162226563518e+00
6.049999999999998712e-01,1.571210878727157034e+00,1.571057814263892238e+00
6.099999999999998757e-01,2.011036422170485061e+00,2.010876025213277796e+00
6.149999999999998801e-01,2.237672810744885332e+00,2.237534975028422579e+00
6.199999999999998845e-01,2.228694715862798326e+00,2.228600357809978671e+00
6.250000000000000000e-01,2.012781028191645838e+00,2.012739696416857349e+00
6.299999999999998934e-01,1.652666022570583149e+00,1.652677674256471274e+00
6.350000000000000089e-01,1.225665423635785567e+00,1.225720415737167501e+00
6.399999999999999023e-01,8.060794233719783541e-01,8.061606190769848856e-01
6.449999999999999067e-01,4.523199156775510321e-01,4.524062666678740352e-01
6.499999999999999112e-01,1.999877103977139858e-01,2.000634387597433894e-01
6.549999999999999156e-01,6.069594465262577454e-02,6.074951961951381707e-02
6.599999999999999201e-01,2.542623149736528143e-02,2.545200450124836256e-02
6.649999999999999245e-01,7.068750876195913080e-02,7.068578575315249968e-02
6.699999999999999289e-01,1.656921718328248361e-01,1.656674875749285791e-01
6.749999999999999334e-01,2.790469070949893049e-01,2.790066041993095047e-01
6.799999999999999378e-01,3.839339045292819441e-01,3.838864296595731473e-01
6.849999999999999423e-01,4.612883351227859974e-01,4.612416529994188275e-01
6.899999999999998357e-01,5.009512503000980166e-01,5.009117839564641850e-01
6.949999999999999512e-01,5.011239960025020146e-01,5.010959867739004370e-01
6.999999999999998446e-01,4.666465598910952695e-01,4.666318361716932372e-01
7.049999999999999600e-01,4.066768144233523508e-01,4.066755027043719162e-01
7.099999999999998535e-01,3.322893476145691860e-01,3.322994086548650694e-01
7.149999999999999689e-01,2.543866073381119697e-01,2.544045454286770758e-01
7.199999999999998623e-01,1.821593005000700927e-01,1.821810105735491292e-01
7.249999999999999778e-01,1.221833935566418727e-01,1.222049510251488336e-01
7.299999999999998712e-01,7.811992900171682574e-02,7.813835712729058636e-02
7.349999999999998757e-01,5.090198711064428810e-02,5.091534963528068780e-02
7.399999999999998801e-01,3.925254547693171614e-02,3.925994643277298107e-02
7.449999999999998845e-01,4.037174700670523309e-02,4.037318378071758779e-02
7.499999999999998890e-01,5.065255678437805692e-02,5.064876425285867040e-02
7.549999999999998934e-01,6.631915012151891331e-02,6.631135609562420485e-02
7.599999999999998979e-01,8.392296782689263879e-02,8.391265722473335853e-02
7.649999999999999023e-01,1.006694045545732663e-01,1.006580497720618028e-01
7.699999999999999067e-01,1.145788173022402184e-01,1.145675264163645429e-01
7.749999999999999112e-01,1.245067184709840319e-01,1.244961563278740857e-01
7.799999999999998046e-01,1.300594797196203967e-01,1.300506399475846731e-01
7.849999999999999201e-01,1.314449884050623851e-01,1.314384532598092958e-01
7.899999999999998135e-01,1.292945841537239404e-01,1.292906366845551491e-01
7.949999999999999289e-01,1.244855864627295861e-01,1.244844015410896676e-01
7.999999999999998224e-01,1.179852710912020763e-01,1.179864076730053057e-01
8.049999999999999378e-01,1.107280538697499178e-01,1.107309949518399256e-01
8.099999999999998312e-01,1.035304396466293492e-01,1.035346098382421420e-01
8.149999999999999467e-01,9.704234663089646162e-02,9.704713473829068571e-02
8.199999999999998401e-01,9.172963172631155848e-02,9.173456222496215173e-02
8.249999999999998446e-01,8.788056569915080052e-02,8.788527383520434999e-02
8.299999999999998490e-01,8.562870156097888985e-02,8.563290104958343196e-02
8.349999999999998535e-01,8.498478000279775790e-02,8.498826999028390172e-02
8.399999999999998579e-01,8.587185206170772078e-02,8.587444368906192727e-02
8.449999999999998623e-01,8.815914752726276837e-02,8.816060342091669444e-02
8.499999999999998668e-01,9.169177469188018181e-02,9.169231212082736004e-02
8.549999999999998712e-01,9.631469967251359010e-02,9.631452920461831824e-02
8.599999999999998757e-01,1.018905876282026612e-01,1.018898541565241012e-01
8.649999999999998801e-01,1.083118328887063830e-01,1.083107355837279878e-01
8.699999999999997735e-01,1.155076208203224819e-01,1.155063418621008892e-01
8.749999999999998890e-01,1.234471300789784648e-01,1.234458024165671630e-01
8.799999999999997824e-01,1.321400308406408819e-01,1.321387507593001220e-01
8.849999999999998979e-01,1.416353817170846185e-01,1.416341286279927114e-01
8.899999999999997913e-01,1.520198707661654380e-01,1.520186846345827347e-01
8.949999999999999067e-01,1.634161745373235164e-01,1.634152365684554964e-01
8.999999999999998002e-01,1.759820397702148431e-01,1.759816106049498230e-01
9.049999999999999156e-01,1.899105221452604131e-01,1.899109742738919748e-01
9.099999999999998090e-01,2.054317192342506315e-01,2.054335502218522791e-01
9.149999999999998135e-01,2.228162491077938789e-01,2.228193586372066159e-01
9.199999999999999289e-01,2.423806764249884504e-01,2.423850298620215393e-01
9.249999999999998224e-01,2.644951202291925263e-01,2.645008254037099493e-01
9.299999999999999378e-01,2.895933280351770667e-01,2.896004704823781917e-01
9.349999999999998312e-01,3.181855465271955508e-01,3.181939705935530882e-01
9.399999999999999467e-01,3.508746817936300166e-01,3.508842855372044101e-01
9.449999999999998401e-01,3.883763650281751856e-01,3.883872451541467985e-01
9.499999999999999556e-01,4.315437606530464487e-01,4.315560596192183351e-01
9.549999999999999600e-01,4.813982139095599466e-01,4.814121318618002077e-01
9.599999999999999645e-01,5.391670972021050945e-01,5.391829263711805931e-01
9.649999999999998579e-01,6.063307028128611664e-01,6.063488148970375136e-01
9.699999999999998623e-01,6.846804493583797946e-01,6.847012175836857395e-01
9.749999999999997558e-01,7.763913539115183671e-01,7.764153839045476735e-01
9.799999999999999822e-01,8.841125557096889409e-01,8.841404863037308770e-01
9.849999999999998757e-01,1.011080690885231004e+00,1.011113410103451793e+00
9.899999999999998801e-01,1.161262357160157688e+00,1.161301105684469093e+00
